id,hn,species,submitted_sample,collect_method,vitek_id,bact_species_1,amikacin,amoxicillin/clavulanic acid,ampicillin,benzylpenicillin,cefalotin,cefotaxime,cefovecin,cefoxitin screen,cefpodoxime,ceftriaxone,chloramphenicol,clindamycin,doxycycline,enrofloxacin,erythromycin,florfenicol,fusidic acid,gentamicin,inducible clindamycin resistance,levofloxacin,linezolid,marbofloxacin,minocycline,moxifloxacin,mupirocin,nitrofurantoin,oxacillin,pradofloxacin,rifampicin,senrofloxacin,teicoplanin,tetracycline,tigecycline,trimethoprim/sulfamethoxazole,vancomycin,answer0,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13
23,5511418,Dog,exudate,-,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,R,,,,S,-,,,R,,,,,S,,,,,,,,,amoxicillin/clavulanic acid,cefalexin,clindamycin,trimethoprim/sulfamethoxazole,,,,,,,,,,
24,5513817,Dog,UB mucosa,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,R,,,,S,+,,,R,,,,,S,,,,,,,,,cefalexin,amoxicillin/clavulanic acid,,,,,,,,,,,,
25,5514788,Unk,Abscess,,GP,Enterococcus faecium,,,,S,,,S,,,,S,,,R,S,,,,,,,R,,,,S,,,,,,S,,S,S,amoxicillin/clavulanic acid,,,,,,,,,,,,,
26,5515145,Dog,Exudate from wound,,GP,Staphylococcus pseudintermedius,,,,*R,S,,S,-,S,,S,R,,R,R,,S,I,-,,,R,,,,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
27,5602189,Dog,Pustule//Recurrent pyoderma,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,clindamycin,,,,,,,,,,
28,5605530,Dog,Crust from skin // กิน cepha/AMC-> not improve,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,+,R,,S,R,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
29,5605920,Dog,crust,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
30,5606575,Dog,crust,-,GP,Antimicrobials,,,,R,S,,R,-,R,,,,,R,,,,R,+,,,R,,,,,R,,,,,,,,,trimethoprim/sulfamethoxazole,,,,,,,,,,,,,
31,5606752,Cat,abscess,unknown,GP,Antimicrobials,,,,S,S,,S,,,,,,,S,,,,,,,,S,,,,,,,,,,,,,,amoxicillin/clavulanic acid,cefalexin,cefovecin,,,,,,,,,,,
32,5607332,Dog,lt ear otitis externa and ear mass (mixed infection),,GP,Staphylococcus chromogenes,,,,,S,,S,-,I,,S,S,,R,R,,S,S,-,,,R,,,,S,S,,,,,R,,S,S,cefovecin,,,,,,,,,,,,,
33,5607590,Dog,Crust from skin//,Unk,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,R,S,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
34,5608743,Cat,chronic wound,unknown,GP,Antimicrobials,,,,Amoxy/clav,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5610460,Cat,urine,,GP,Enterococcus faecalis 2.1 x 105 CFU/ml,,,,S,,,R,,,,S,R,,R,I,,,,,,,R,,,,S,,,,,,R,,*R,S,amoxicillin/clavulanic acid,,,,,,,,,,,,,
36,5612943,Dog,Pustule ใต้ท้อง,,GP,Leuconostoc mesenteroides ssp cremoris,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,clindamycin,cefalexin,amoxicillin/clavulanic acid,,,,,,,,,,,
37,5613795,Dog,Exudate from wound,,GP,unidentified gram-positive bacteria,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
38,5616694,Dog,Pustule (not improve with cephalexin/AMC,,GP,Staphylococcus chromogenes,,,,R,S,,R,-,R,,S,S,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,S,S,clindamycin,,,,,,,,,,,,,
39,5700245,Dog,right ear canal,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,R,S,,S,R,-,,,R,,,S,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,,,,,,,,,,,,
40,5701470,Cat,Wound,Unk,GP,Staphylococcus schleiferi,,,,*R,S,,S,-,I,,S,R,,R,R,,I,R,-,,,R,,,,S,R,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
41,5701470,Cat,wound exudate,,GP,Staphylococcus schleiferi,,,,*R,S,,S,-,S,,S,R,,R,R,,I,R,-,,,R,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
42,5701917,Dog,crust คยใช้ AMC แล้ว 2 wks แล้วไม่ดีขึ้น,unknown,GP,Antimicrobials,,,,R,S,,R,-,R,,,,,R,,,,R,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
43,5701951,Dog,Surgical site,,GP,Staphylococcus auricularis,,,,S,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,cefalexin,amoxicillin/clavulanic acid,,,,,,,,
44,5701951,Dog,Exudate,,GP,Staphylococcus aureus,,,,*R,S,,S,-,S,,S,R,,S,R,,S,S,-,,,S,,,S,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,cefalexin,amoxicillin/clavulanic acid,,,,,,,,
45,5702581,Dog,Urine,Cystocentesis,GP,Streptococcus sp. (2.8 x 105 CFU/ml),,,,,,,Gentamicin,Benzyl penicillin,,,,,,,Clindamycin,,,,,,,Inducible clindamycin,,,Chloramphenicol,,Cefalotin,,,,,Nitrofurantoin,,"GN(S), SXT(S), AK(I), ENR(I), DO(S), AMC(S), EFT(S)",,amoxicillin/clavulanic acid,,,,,,,,,,,,,
46,5702581,Dog,Urine,Cystocentesis,GP,Streptococcus sp. ( 2.8 x 105 CFU/ml),,,,,,,Gentamicin,Benzyl penicillin,,,,,,,Clindamycin,,,,,,,Inducible clindamycin,,,Chloramphenicol,,Cefalotin,,,,,Nitrofurantoin,,4)	Recommendation of antimicrobial choices,,amoxicillin/clavulanic acid,,,,,,,,,,,,,
47,5708509,Dog,Pustule,swab,GP,Antimicrobials,,,,R,S,,R,-,I,,,,,R,,,,I,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
48,5708644,Dog,Left face exudate,,GP,Staphylococcus chromogenes,,,,S,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
49,5708728,Dog,Crust (not improve with AMC),,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,R,,S,S,,R,R,,S,S,-,,,R,,,,S,R,,,,,R,,S,S,clindamycin,,,,,,,,,,,,,
50,5709648,Dog,folliculitis/pustule,unknown,GP,Antimicrobials,,,,R,S,,S,,S,,,,,S,,,,S,-,,,S,,,,,S,,,,,,,,,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
51,5712303,Dog,Pustule/recurrent pyoderma,,GP,Staphylococcus pseudintermedius,,,,R,S,,I,-,S,,R,S,,R,R,,S,S,-,,,R,,,,S,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
52,5713728,Cat,Pleural effusion,,GP,Staphylococcus hominis ssp hominis,,,,S,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,amoxicillin/clavulanic acid,,,,,,,,,,,,,
53,5713845,Dog,bloody exudate/deep pyoderma/Cushing,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,R,,,,R,-,,,R,,,,,R,,,,,,,,,clindamycin,,,,,,,,,,,,,
54,5714571,Dog,UB mucosa,,GP,Staphylococcus aureus,,,,R,S,,S,-,S,,R,R,,,R,,S,R,-,,,R,,,,S,R,,,,,R,,S,S,,,,,,,,,,,,,,
55,5714660,Dog,Crust from skin // No response with AMC,,GP,Staphylococcus pseudintermedius,,,,R,R,,R,-,R,,S,R,,R,R,,S,I,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
56,5715074,Dog,exudate from wound,unknown,GP,Antimicrobials,,,,R,S,,R,-,I,,,,,R,,,,I,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
57,5715782,Dog,Pus,,GP,Staphylococcus schleiferi,,,,R,S,,S,-,S,,S,R,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,S,S,,,,,,,,,,,,,,
58,5715811,Dog,UB mucosa,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,R,S,,R,R,,S,S,,,,R,,,,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
59,5800357,Dog,Crust,,GP,Antimicrobials,,,,R,S,,R,,I,,,,,R,,,,S,,,,R,,,,,R*,,,,,,,,,,,,,,,,,,,,,,
60,5801449,Dog,wound,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,+,R,,S,R,,R,R,,S,R,-,,,R,,,R,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
61,5801521,Dog,Pustule,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
62,5801955,Dog,UB mucosa,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
63,5802126,Dog,Pustule // Atopic dog,,GP,Alloiococcus otitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clindamycin,cefalexin,amoxicillin/clavulanic acid,,,,,,,,,,,
64,5802620,Cat,ub mucosa,,GP,Enterococcus faecium,,,,R,,,R,,,,R,R,,R,R,,,,,,,R,,,,R,,,,,,R,,R,R,,,,,,,,,,,,,,
65,5802694,Dog,crust from skin,-,GP,Antimicrobials,,,,R,S,,R,-,I,,,,,R,,,,R,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
66,5803822,Dog,pus,unknown,GP,Antimicrobials,,,,R,S,,S,,S,,,,,R,,,,I,-,,,R,,,,,R,,,,,,,,,clindamycin,,,,,,,,,,,,,
67,5804050,Cat,Urine,,GP,Staphylococcus cohnii ssp. urealyticus,,,,*R,*R,,R,+,R,,S,R,,R,I,,S,S,-,,,R,,,,S,R,,,,,R,,S,S,amikacin,nitrofurantoin,,,,,,,,,,,,
68,5804489,Dog,Crust ที่หลัง เคยใช้ AMC และ toflex no response,,GP,Staphylococcus chromogenes,,,,,S,,S,-,S,,S,S,,R,S,,S,S,-,,,R,,,,S,R,,,,,R,,S,S,clindamycin,,,,,,,,,,,,,
69,5806414,Dog,Gastric ulcer (endoscope),,GP,Staphylococcus hominis ssp hominis,,,,*R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,,,,,,,,,,,,,,
70,5806422,Dog,Surgical wound,unknown,GP,Antimicrobials,,,,S,S,,S,-,S,,,,,S,,,,S,-,,,S,,,,,S,,,,,,,,,cefalexin,amoxicillin/clavulanic acid,clindamycin,,,,,,,,,,,
71,5806422,Dog,surgical wound (lt. HL),,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,R,,R,R,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,,,,,,,,,,,
72,5807100,Dog,Crust,,GP,Staphylococcus schleiferi,,,,,S,,S,-,S,,S,S,,I,R,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,,,,,,,,,,,
73,5807727,Dog,Crust ให้ amc ไม่หาย,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
74,5807761,Dog,Crust ที่หลัง เคยกิน amc ไม่ดีขึ้น,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,I,,R,S,,R,R,,S,I,-,,,R,,,,S,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
75,5809606,Dog,folliculitis/pustule,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,R,,,,S,-,,,R,,,,,S,,,,,,,,,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
76,5811538,Dog,Perineal mass fluid,unknown,GP,Kytococcus sedentatius,,,,,,,Gentamicin,Benzyl penicillin,,,,,,,,,,,,,,Inducible clindamycin,,,,,Cefalotin,,,,,,,,,,,,,,,,,,,,,,
77,5812034,Cat,Exudates from wound,,GP,Granulicatella adiacens/Kocuria kristinae,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,amoxicillin/clavulanic acid,cefalexin,,,,,,,,,,,,
78,5812397,Dog,Exudate from wound,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,R,,R,S,,R,R,,S,S,-,,,R,,,,R,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
79,5813173,Cat,Nasophrynx and both nasal mucosa,,GP,Dermacoccus nishinomiyaensis/Kytococcus sedentarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,5813175,Dog,Crust  (ไม่ตอบสนองต่อการรักษาด้วย AMC และ Toflex),-,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,S,,,,I,+,,,S,,,,,S,,,,,,,,,,enrofloxacin,marbofloxacin,,,,,,,,,,,
81,5814043,Dog,crust from skin // no response with AMC,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,R,,R,R,,R,R,,S,I,-,,,R,,,S,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
82,5814427,Dog,Crust from skin//,Unk,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,R,,R,R,,S,S,-,,,R,,,,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
83,5814687,Dog,Right ear canal,,GP,Staphylococcus schleiferi,,,,*R,*R,,R,*+,R,,S,,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,S,S,,,,,,,,,,,,,,
84,5815122,Dog,Otorrhea,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,R,,R,R,,S,R,-,,,R,,,,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
85,5815285,Dog,abdominal fluid,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,S,,,,S,-,,,S,,,,,S,,,,,,,,,clindamycin,trimethoprim/sulfamethoxazole,cefalexin,amoxicillin/clavulanic acid,,,,,,,,,,
86,5817065,Cat,Left nasal swab,,GP,Rothia dentocariosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,5900001,Dog,Bladder mucosa,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,R,S,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
88,5900090,Dog,pus,,GP,Staphylococcus pseudintermedius,,,,S,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,,,,,,,,,,,
89,5900187,Dog,Pedal furunculosis,,GP,Staphylococcus schleiferi,,,,R,S,,R,-,R,,R,R,,R,R,,S,S,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
90,5900368,Dog,pustule,,GP,Staphylococcus chromogenes,,,,R,S,,S,-,I,,S,S,,R,S,,I,S,-,,,R,,,,S,S,,,,,R,,S,S,cefalexin,clindamycin,amoxicillin/clavulanic acid,,,,,,,,,,,
91,5900428,Dog,Exudate from wound,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,I,,R,S,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
92,5900619,Dog,Ub mucosa,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,I,,S,R,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,nitrofurantoin,,,,,,,,,,,,,
93,5900846,Dog,Deep exudate ที่หางตา,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,R,,,,R,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
94,5900846,Dog,Deep exudates Rt stifle,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,S,,R,R,,R,R,,S,I,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
95,5900941,Dog,pustule/folliculitis,unknown,GP,Antimicrobials,,,,R,S,,S,,S,,,,,R,,,,I,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
96,5900972,Dog,Crust กิน marbo and cepha,,GP,Staphylococcus pseudintermedius,,,,R,R,,R,-,I,,R,R,,R,R,,S,S,-,,,R,,,,S,S,,,,,R,,S,S,,,,,,,,,,,,,,
97,5900992,Dog,Crust from skin,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
98,5901109,Dog,deep folliculitis,unknown,GP,Antimicrobials,,,,R,S,,R,-,R,,,,,R,,,,R,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
99,5901117,Dog,Pustule,,GP,Staphylococcus chromogenes,,,,,S,,I,-,S,,S,R,,S,R,,S,R,-,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,,,,,,,,,,,,
100,5901179,Dog,Crust ใช้ convenia แล้วไม่ดีขึ้น,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,I,,R,R,,R,R,,S,I,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
101,5901256,Dog,Crust skin,,GP,Staphylococcus chromogenes,,,,R,S,,S,-,S,,S,R,,S,R,,S,S,-,,,S,,,,S,R,,,,,R,,S,S,enrofloxacin,marbofloxacin,,,,,,,,,,,,
102,5901329,Dog,Crust from skin,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,I,,R,S,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
103,59101445,Dog,Skin swab,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,R,R,,R,R,,S,R,-,,,R,,,,S,S,,,,,R,,R,S,,,,,,,,,,,,,,
104,5902734,Dog,Crust เคยกิน AMC/marbo/ไม่หาย,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,R,S,,R,R,,S,S,-,,,R,,,,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
105,5902841,Dog,Vaginal discharge,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,S,,R,S,,R,R,,S,I,-,,,R,,,,S,R,,,,,R,,S,S,clindamycin,,,,,,,,,,,,,
106,5903029,Dog,Pustule//Recurrent pyoderma เคย c/s resist กับ Cepha+AMC,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,R,R,,R,R,,S,R,-,,,R,,,,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
107,5903071,Dog,Pleural fluid,,GP,Micrococcus luteus,,,,,,,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,amoxicillin/clavulanic acid,,,,,,,,,,,,,
108,5903659,Dog,pustule,,GP,Staphylococcus pseudintermedius,,,,S,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,clindamycin,,,,,,,,,,
109,5904118,Dog,UB mucosa,,GP,Staphylococcus auricularis,,,,S,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,S,S,,,,,,,,,,,,,,
110,5904911,Dog,wound exudate,,GP,Antimicrobials,,,,R,S,,R,,I,,,,,I,,,,S,+,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
111,5905056,Cat,Abdominal fluid,,GP,Staphylococcus hominis ssp hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,,
112,5905219,Dog,exudate,-,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,S,,,,I,-,,,S,,,,,S,,,,,,,,,clindamycin,enrofloxacin,amoxicillin/clavulanic acid,cefalexin,,,,,,,,,,
