hn,date_of_submission,species,submitted_sample,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefovecin,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_minocycline,ans_nitrofurantoin,ans_pradofloxacin,ans_rifampicin,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_benzylpenicillin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_inducible clindamycin resistance,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin,id
5910810,2016-07-08,dog,bite wound,GP,staphylococcus,2016-07-11,train,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,S,,S,R,,S,I,-,S,,,S,S,,S,R,R,S,3439
5900310,2016-07-06,dog,crust,GP,leuconostoc,2016-07-14,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,3440
5909031,2016-07-06,dog,opened wound,GP,leuconostoc,2016-07-14,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,3441
5910795,2016-07-10,dog,surgical site,GP,staphylococcus,2016-07-14,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,,S,S,-,S,S,S,,R,S,,S,S,-,R,,,S,S,,S,R,S,S,3442
5910988,2016-07-08,dog,opened wound,GP,enterococcus,2016-07-14,train,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,S,S,,R,,,S,R,,S,I,,,,,S,,,S,,,,R,R,S,3443
59111129,2016-07-10,dog,crust from skin,GP,staphylococcus,2016-07-14,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3444
5400033,2016-09-23,dog,surgical site,GP,staphylococcus,2016-09-27,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,S,S,,S,S,-,S,,,S,S,,S,R,S,S,3445
5500255,2016-11-08,dog,nasal mucosa,GP,staphylococcus,2016-11-14,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,R,S,S,3446
5500510,2016-07-22,dog,crust from skin,GP,staphylococcus,2016-07-28,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,I,S,S,,R,S,,S,S,-,R,,,S,R,,S,R,R,S,3447
5500764,2016-08-19,dog,exudate,GP,staphylococcus,2016-08-24,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,S,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3448
5500894,2016-08-15,dog,pus,GP,staphylococcus,2016-08-17,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3449
5501087,2016-08-08,dog,opened wound,GP,staphylococcus,2016-08-10,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,R,S,S,3450
5501087,2016-08-22,dog,ub mucosa,GP,staphylococcus,2016-08-25,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,R,,S,R,-,S,,,S,S,,S,R,S,S,3451
5501307,2016-10-10,dog,crust from skin,GP,staphylococcus,2016-10-14,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,I,R,R,,R,R,,S,S,-,R,,,S,R,,S,R,R,S,3452
5501488,2016-12-13,dog,opened wound,GP,staphylococcus,2016-12-19,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,S,,R,R,,S,R,+,R,,S,S,S,,S,R,R,S,3453
5510556,2016-11-10,dog,crust,GP,staphylococcus,2016-11-14,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3454
5510556,2016-11-10,dog,surgical site,GP,staphylococcus,2016-11-14,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3455
5501854,2016-11-13,dog,ub mucosa,GP,staphylococcus,2016-11-17,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,R,S,,S,S,-,R,,,S,S,,S,R,S,S,3456
5502038,2016-10-18,dog,pododermatitis,GP,staphylococcus,2016-10-21,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,R,-,R,,,S,S,,S,R,S,S,3457
5502262,2016-07-27,dog,crust,GP,staphylococcus,2016-08-02,train,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3458
5502262,2016-10-10,dog,crust,GP,staphylococcus,2016-10-13,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,,S,,,S,S,,S,R,S,S,3459
5502333,2016-09-09,dog,urine,GP,staphylococcus,2016-09-16,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,R,S,S,,R,S,,S,I,-,R,,,S,R,,S,R,R,S,3460
5503244,2016-07-15,dog,folliculitis,GP,staphylococcus,2016-07-28,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,R,,R,R,S,,I,R,,S,I,-,R,,,S,R,,S,R,S,S,3461
5503390,2016-08-08,dog,blood,GP,staphylococcus,2016-08-15,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,S,R,S,R,-,S,R,R,,R,R,,S,I,-,R,,,S,R,,S,R,R,S,3462
5506054,2016-08-05,dog,pustule,GP,staphylococcus,2016-08-04,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,R,S,S,3463
5506112,2016-12-08,dog,crust from skin,GP,staphylococcus,2016-12-15,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,R,S,3464
5507086,2016-11-24,other,ub mucosa,GP,staphylococcus,2016-11-29,train,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,S,R,S,R,-,R,S,R,,R,R,,S,S,-,R,,,S,R,,S,R,R,S,3465
5508183,2016-09-05,dog,chronic wound,GP,staphylococcus,2016-09-10,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,R,,S,S,-,S,,,S,S,,S,R,S,S,3466
5508352,2016-07-12,dog,urine,GP,staphylococcus,2016-07-17,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,,S,S,S,,R,S,,S,S,-,R,,,S,S,,S,S,S,S,3467
5508352,2016-08-24,dog,ub mucosa,GP,staphylococcus,2016-08-29,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,R,S,,S,S,-,R,,,S,S,,S,S,S,S,3468
5511418,2016-07-16,dog,liver,GP,enterococcus,2016-07-23,train,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,S,S,,R,,,S,R,,S,S,,,S,,,,,S,,,,R,R,S,3469
5511418,2016-07-27,dog,exudate,GP,staphylococcus,2016-08-03,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,S,,R,S,,S,S,-,R,,,S,S,,S,R,S,S,3470
5513817,2016-08-19,dog,ub mucosa,GP,staphylococcus,2016-08-25,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,R,R,,S,S,+,R,,S,S,S,,S,R,R,S,3471
5514788,2016-11-16,other,opened wound,GP,enterococcus,2016-11-24,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,,S,,,S,,,R,S,,,,,R,,,S,,,,S,S,S,3472
5515145,2016-10-10,dog,exudate,GP,staphylococcus,2016-10-06,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,I,-,R,,,S,S,,S,R,R,S,3473
5602189,2016-10-06,dog,pus,GP,staphylococcus,2016-10-10,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,R,S,S,3474
5605530,2016-11-01,dog,crust from skin,GP,staphylococcus,2016-11-04,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,R,R,S,S,+,R,S,R,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3475
5605920,2016-11-02,dog,urine,GP,staphylococcus,2016-11-07,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,R,S,S,3476
5606575,2016-07-29,dog,ear exudate,GP,staphylococcus,2016-08-01,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,S,R,S,R,-,R,S,S,,R,R,,S,R,+,R,,,S,R,,S,R,S,S,3477
5607332,2016-09-19,dog,urine,GP,staphylococcus,2016-09-23,train,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,,S,S,-,I,S,S,,R,R,,S,S,-,R,,,S,S,,S,R,S,S,3478
5607590,2016-11-28,dog,crust from skin,GP,staphylococcus,2016-12-01,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,R,S,,S,R,-,R,,,S,R,,S,R,R,S,3479
5610460,2016-12-21,cat,urine,GP,enterococcus,2016-12-26,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,,R,,,S,R,,R,I,,,,,R,,,S,,,,R,R,S,3480
5612943,2016-10-13,dog,surgical site,GP,leuconostoc,2016-10-18,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,-,,,,,,,,,,,,,,,,,,,,,3481
5613795,2016-10-04,dog,exudate,GP,unknown,2016-10-11,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,-,,,,,,,,,,,,,,,,,,,,,3482
5616694,2016-09-12,dog,opened wound,GP,staphylococcus,2016-09-17,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,R,S,S,,R,R,,S,R,-,R,,,S,R,,S,R,S,S,3483
5700245,2016-12-15,dog,bite wound,GP,staphylococcus,2016-12-21,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,R,S,,S,R,-,R,,S,S,S,,S,R,R,S,3484
5701470,2016-11-28,cat,wound,GP,staphylococcus,2016-12-02,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,I,S,R,,R,R,,I,R,-,R,,,S,R,,S,R,S,S,3485
5701470,2016-12-21,cat,urine,GP,staphylococcus,2016-12-26,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,I,R,-,R,,,S,S,,S,R,S,S,3486
5701951,2016-09-09,dog,opened wound,GP,staphylococcus,2016-09-19,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3487
5701951,2016-11-01,dog,exudate,GP,staphylococcus,2016-11-07,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,S,R,,S,S,-,S,,S,S,S,,S,R,S,S,3488
5706217,2016-07-12,dog,urine,GP,enterococcus,2016-07-17,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,,R,,,S,R,,S,R,,,,,S,,,S,,,,R,R,S,3489
5708509,2016-07-25,dog,surgical site,GP,staphylococcus,2016-08-04,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,S,R,S,R,-,I,R,R,,R,R,,S,I,-,R,,,S,R,,S,R,R,S,3490
5708644,2016-09-27,dog,urine,GP,staphylococcus,2016-10-05,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3491
5708728,2016-09-13,dog,surgical site,GP,staphylococcus,2016-09-17,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,R,R,S,R,-,R,S,S,,R,R,,S,S,-,R,,,S,R,,S,R,S,S,3492
5709648,2016-08-24,dog,opened wound,GP,staphylococcus,2016-08-31,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,R,R,S,3493
5712303,2016-09-22,dog,furunculosis,GP,staphylococcus,2016-09-27,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,I,-,S,R,S,,R,R,,S,S,-,R,,,S,R,,S,R,R,S,3494
5713728,2016-10-03,cat,pleural effusion,GP,staphylococcus,2016-10-06,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,R,S,S,3495
5713845,2016-08-24,dog,blood,GP,staphylococcus,2016-08-31,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,S,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3496
5714571,2016-09-05,dog,urine,GP,staphylococcus,2016-09-12,train,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,R,,,R,,S,R,-,R,,,S,R,,S,R,S,S,3497
5714660,2016-11-20,dog,crust from skin,GP,staphylococcus,2016-11-23,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,R,R,-,R,S,R,,R,R,,S,I,-,R,,,S,R,,S,R,R,S,3498
5715782,2016-11-07,dog,surgical site,GP,staphylococcus,2016-11-11,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,R,-,R,,,S,R,,S,R,S,S,3499
5715811,2016-10-18,dog,ub mucosa,GP,staphylococcus,2016-10-25,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,S,,R,R,,S,S,,R,,,S,S,,S,R,R,S,3500
5800357,2016-07-28,dog,crust,GP,staphylococcus,2016-08-01,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,,S,R,S,R,,I,R,R,,R,R,,S,S,,R,,,S,R,,S,R,S,S,3501
5801449,2016-12-24,dog,opened wound,GP,staphylococcus,2016-12-28,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,+,R,S,R,,R,R,,S,R,-,R,,R,S,R,,S,R,R,S,3502
5801521,2016-11-18,dog,surgical site,GP,staphylococcus,2016-11-23,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3503
5801955,2016-11-10,dog,ub mucosa,GP,staphylococcus,2016-11-16,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,R,R,S,3504
5802126,2016-10-12,dog,bite wound,GP,alloiococcus,2016-10-18,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,3505
5802620,2016-12-20,cat,ub mucosa,GP,enterococcus,2016-12-28,train,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,R,R,,R,,,R,R,,R,R,,,,,R,,,R,,,,R,R,R,3506
5802694,2016-08-16,dog,urine,GP,staphylococcus,2016-08-19,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,S,R,S,R,-,I,R,R,,R,R,,S,R,-,R,,,S,R,,S,R,R,S,3507
5803822,2016-08-29,dog,opened wound,GP,staphylococcus,2016-08-31,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,,S,R,S,,R,R,,S,I,-,R,,,S,R,,S,R,R,S,3508
5804050,2016-09-27,cat,urine,GP,staphylococcus,2016-10-06,train,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,R,R,R,R,+,R,S,R,,R,I,,S,S,-,R,,,S,R,,S,R,S,S,3509
5804489,2016-10-05,dog,urine,GP,staphylococcus,2016-10-07,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,,S,S,-,S,S,S,,R,S,,S,S,-,R,,,S,R,,S,R,S,S,3510
5806414,2016-10-04,dog,ub mucosa,GP,staphylococcus,2016-10-11,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3511
5806422,2016-08-19,dog,crust from skin,GP,staphylococcus,2016-08-24,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3512
5806422,2016-12-01,dog,opened wound,GP,staphylococcus,2016-12-15,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,R,R,R,,R,R,,S,R,-,R,,,S,R,,S,R,S,S,3513
5807100,2016-09-13,dog,bite wound,GP,staphylococcus,2016-09-17,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,,S,S,-,S,S,S,,I,R,,S,S,-,S,,,S,S,,S,R,S,S,3514
5807727,2016-11-22,dog,crust,GP,staphylococcus,2016-11-24,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3515
5807761,2016-10-27,dog,crust,GP,staphylococcus,2016-10-31,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,I,R,S,,R,R,,S,I,-,R,,,S,R,,S,R,R,S,3516
5809606,2016-08-24,dog,urine,GP,staphylococcus,2016-08-29,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,S,-,R,,,S,S,,S,R,R,S,3517
5812034,2016-11-12,cat,urine,GP,granulicatella,2016-11-23,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,-,,,,,,,,,,,,,,,,,,,,,3518
5812397,2016-09-27,dog,crust from skin,GP,staphylococcus,2016-10-05,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,R,R,S,,R,R,,S,S,-,R,,,R,R,,S,R,R,S,3519
5813173,2016-12-01,cat,nasal mucosa,GP,dermacoccus,2016-12-15,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,3520
5813175,2016-08-16,dog,crust from skin,GP,staphylococcus,2016-08-19,train,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,R,,S,I,+,S,,,S,S,,S,R,R,S,3521
5814043,2016-12-19,dog,ub mucosa,GP,staphylococcus,2016-12-21,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,R,R,S,R,-,R,R,R,,R,R,,S,I,-,R,,S,S,R,,S,R,R,S,3522
5814427,2016-12-05,dog,crust from skin,GP,staphylococcus,2016-12-08,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,S,-,R,,,S,S,,S,R,R,S,3523
5814687,2016-11-05,dog,urine,GP,staphylococcus,2016-11-10,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,R,R,R,R,+,R,S,,,R,R,,S,R,-,R,,,S,R,,S,R,S,S,3524
5815122,2016-09-18,dog,otorrhea,GP,staphylococcus,2016-09-23,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,R,R,,S,R,-,R,,,S,S,,S,R,R,S,3525
5815285,2016-08-09,dog,abdominal fluid,GP,staphylococcus,2016-08-18,train,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3526
5815927,2016-07-10,cat,abdominal fluid,GP,staphylococcus,2016-07-14,train,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,R,-,R,S,R,,S,S,,S,S,-,S,,,S,S,,S,S,S,S,3527
5817065,2016-11-07,cat,nasal swab,GP,rothia,2016-11-14,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,3528
